Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms)
70356503816800,HTTP,282,0
70356521508300,HTTP,282,0
70356541400200,HTTP,282,0
70356562472500,HTTP,282,0
70356586124000,HTTP,282,0
70356605600700,HTTP,282,0
70356623689800,HTTP,282,0
70356642227000,HTTP,282,0
70356656367600,HTTP,282,0
70356675266600,HTTP,282,0
70356691644900,HTTP,282,0
70356705923800,HTTP,282,0
70356720423400,HTTP,282,0
70356738005500,HTTP,282,0
70356753295200,HTTP,282,0
70356768257000,HTTP,282,0
70356783830700,HTTP,282,0
70356798956500,HTTP,282,0
70356813607000,HTTP,282,0
70356831555600,HTTP,282,0
70356847427900,HTTP,282,0
70356862243600,HTTP,282,0
70356880318600,HTTP,282,0
70356897984300,HTTP,282,0
70356914818900,HTTP,282,0
70356929781100,HTTP,282,0
70356946322300,HTTP,282,0
70356962738300,HTTP,282,0
70356977840200,HTTP,282,0
70356998316200,HTTP,282,0
70357019503200,HTTP,282,0
70357053240800,HTTP,282,0
70357075434200,HTTP,282,0
70357101695100,HTTP,282,0
70357118748800,HTTP,282,0
70357136137700,HTTP,282,0
70357154764400,HTTP,282,0
70357172208400,HTTP,282,0
70357193970300,HTTP,282,0
70357210570500,HTTP,282,0
70357226109600,HTTP,282,0
70357242993900,HTTP,282,0
70357259576400,HTTP,282,0
70357276276400,HTTP,282,0
70357296219200,HTTP,282,0
70357315167200,HTTP,282,0
70357334999700,HTTP,282,0
70357355148200,HTTP,282,0
70357376443900,HTTP,282,0
70357396271200,HTTP,282,0
70357413255500,HTTP,282,0
70357428042800,HTTP,282,0
70357442867800,HTTP,282,0
70357458241400,HTTP,282,0
70357476414200,HTTP,282,0
70357495885800,HTTP,282,0
70357511117100,HTTP,282,0
70357526714400,HTTP,282,0
70357541978800,HTTP,282,0
70357560256900,HTTP,282,0
70357584665000,HTTP,282,0
70357606362400,HTTP,282,0
70357624559100,HTTP,282,0
70357639578700,HTTP,282,0
70357655573500,HTTP,282,0
70357671025200,HTTP,282,0
70357685404600,HTTP,282,0
70357703255000,HTTP,282,0
70357718625400,HTTP,282,0
70357733383800,HTTP,282,0
70357748751800,HTTP,282,0
70357764169700,HTTP,282,0
70357779681500,HTTP,282,0
70357796329700,HTTP,282,0
70357815077700,HTTP,282,0
70357832535700,HTTP,282,0
70357848240700,HTTP,282,0
70357865946500,HTTP,282,0
70357885259700,HTTP,282,0
70357904491100,HTTP,282,0
70357920328300,HTTP,282,0
70357936256300,HTTP,282,0
70357951679400,HTTP,282,0
70357968927200,HTTP,282,0
70357985810500,HTTP,282,0
70358008390600,HTTP,282,0
70358023997300,HTTP,282,0
70358039019100,HTTP,282,0
70358053883200,HTTP,282,0
70358070489000,HTTP,282,0
70358087685700,HTTP,282,0
70358102829400,HTTP,282,0
70358120069600,HTTP,282,0
70358135582000,HTTP,282,0
70358153139700,HTTP,282,0
70358168337000,HTTP,282,0
70358186719100,HTTP,282,0
70358204288700,HTTP,282,0
70358220519200,HTTP,282,0
70358237574600,HTTP,282,0
70358252155400,HTTP,282,0
70358267208700,HTTP,282,0
70358282024100,HTTP,282,0
70358298589300,HTTP,282,0
70358317228100,HTTP,282,0
70358332336500,HTTP,282,0
70358347539900,HTTP,282,0
70358362725100,HTTP,282,0
70358377487800,HTTP,282,0
70358392556800,HTTP,282,0
70358410468100,HTTP,282,0
70358428915100,HTTP,282,0
70358443791000,HTTP,282,0
70358460786200,HTTP,282,0
70358475874500,HTTP,282,0
70358491882000,HTTP,282,0
70358507530400,HTTP,282,0
70358524734500,HTTP,282,0
70358540836300,HTTP,282,0
70358557800100,HTTP,282,0
70358580233900,HTTP,282,0
70358595470900,HTTP,282,0
70358610292000,HTTP,282,0
70358626333100,HTTP,282,0
70358641670600,HTTP,282,0
70358656619600,HTTP,282,0
70358674561400,HTTP,282,0
70358689501700,HTTP,282,0
70358706713300,HTTP,282,0
70358724161200,HTTP,282,0
70358740057300,HTTP,282,0
70358754916600,HTTP,282,0
70358770640700,HTTP,282,0
70358786932600,HTTP,282,0
70358801993100,HTTP,282,0
70358819049600,HTTP,282,0
70358835048400,HTTP,282,0
70358850462400,HTTP,282,0
70358866302300,HTTP,282,0
70358881253700,HTTP,282,0
70358899006100,HTTP,282,0
70358916249600,HTTP,282,0
70358933462400,HTTP,282,0
70358949277900,HTTP,282,0
70358976390400,HTTP,282,0
70358991548500,HTTP,282,0
70359013171300,HTTP,282,0
70359032533100,HTTP,282,0
70359048003900,HTTP,282,0
70359064002400,HTTP,282,0
70359079566000,HTTP,282,0
70359094895600,HTTP,282,0
70359111087100,HTTP,282,0
70359126516900,HTTP,282,0
70359143178000,HTTP,282,0
70359158589000,HTTP,282,0
70359175466500,HTTP,282,0
70359192866100,HTTP,282,0
70359210906300,HTTP,282,0
70359226648400,HTTP,282,0
70359244271900,HTTP,282,0
70359260012600,HTTP,282,0
70359276853400,HTTP,282,0
70359294542700,HTTP,282,0
70359310837600,HTTP,282,0
70359325104300,HTTP,282,0
70359343056600,HTTP,282,0
70359359440500,HTTP,282,0
70359374032600,HTTP,282,0
70359391037600,HTTP,282,0
70359410480600,HTTP,282,0
70359429328600,HTTP,282,0
70359450030000,HTTP,282,0
70359469268300,HTTP,282,0
70359485805300,HTTP,282,0
70359506523900,HTTP,282,0
70359525677200,HTTP,282,0
70359550112500,HTTP,282,0
70359579404500,HTTP,282,0
70359599459700,HTTP,282,0
70359615581100,HTTP,282,0
70359630146900,HTTP,282,0
70359649900200,HTTP,282,0
70359665111400,HTTP,282,0
70359681804500,HTTP,282,0
70359699692700,HTTP,282,0
70359716588400,HTTP,282,0
70359735909900,HTTP,282,0
70359757166300,HTTP,282,0
70359772967300,HTTP,282,0
70359796017000,HTTP,282,0
70359813151600,HTTP,282,0
70359829458500,HTTP,282,0
70359844605500,HTTP,282,0
70359876489600,HTTP,282,0
70359891237500,HTTP,282,0
70359906663300,HTTP,282,0
70359922798200,HTTP,282,0
70359937033800,HTTP,282,0
70359954725800,HTTP,282,0
70359972160800,HTTP,282,0
70359990811500,HTTP,282,0
70360006395800,HTTP,282,0
70360024310400,HTTP,282,0
70360038420300,HTTP,282,0
70360057247100,HTTP,282,0
70360073516400,HTTP,282,0
70360089866300,HTTP,282,0
70360104263300,HTTP,282,0
70360119648600,HTTP,282,0
70360133817600,HTTP,282,0
70360150428700,HTTP,282,0
70360166983000,HTTP,282,0
70360184664500,HTTP,282,0
70360205649700,HTTP,282,0
70360223427300,HTTP,282,0
70360238867000,HTTP,282,0
70360253825500,HTTP,282,0
70360280225000,HTTP,282,0
70360296006100,HTTP,282,0
70360316228500,HTTP,282,0
70360331683700,HTTP,282,0
70360346224200,HTTP,282,0
70360363335000,HTTP,282,0
70360378781400,HTTP,282,0
70360393605300,HTTP,282,0
70360410614200,HTTP,282,0
70360428851700,HTTP,282,0
70360443334500,HTTP,282,0
70360459474900,HTTP,282,0
70360477145800,HTTP,282,0
70360491728900,HTTP,282,0
70360506482600,HTTP,282,0
70360521296900,HTTP,282,0
70360535690900,HTTP,282,0
70360551113100,HTTP,282,0
70360569739000,HTTP,282,0
70360594703100,HTTP,282,0
70360609201800,HTTP,282,0
70360624317900,HTTP,282,0
70360641113400,HTTP,282,0
70360656274100,HTTP,282,0
70360673855600,HTTP,282,0
70360689184500,HTTP,282,0
70360705227900,HTTP,282,0
70360723891800,HTTP,282,0
70360742752600,HTTP,282,0
70360757899600,HTTP,282,0
70360780642900,HTTP,282,0
70360798795300,HTTP,282,0
70360815767200,HTTP,282,0
70360833116600,HTTP,282,0
70360848083600,HTTP,282,0
70360863014000,HTTP,282,0
70360878966600,HTTP,282,0
70360893844300,HTTP,282,0
70360909108800,HTTP,282,0
70360924463800,HTTP,282,0
70360939128500,HTTP,282,0
70360953916200,HTTP,282,0
70360970387200,HTTP,282,0
70360990077000,HTTP,282,0
70361013612900,HTTP,282,0
70361031508700,HTTP,282,0
70361046680500,HTTP,282,0
70361062057100,HTTP,282,0
70361080074100,HTTP,282,0
70361100138500,HTTP,282,0
70361117681300,HTTP,282,0
70361133562400,HTTP,282,0
70361151776000,HTTP,282,0
70361176841500,HTTP,282,0
70361198984600,HTTP,282,0
70361215328700,HTTP,282,0
70361231944000,HTTP,282,0
70361252274200,HTTP,282,0
70361271107200,HTTP,282,0
70361289812400,HTTP,282,0
70361305299800,HTTP,282,0
70361320105200,HTTP,282,0
70361337725200,HTTP,282,0
70366505994700,MQTT,102,0
70366511554400,MQTT,102,0
70366511843900,MQTT,102,0
70366511965800,MQTT,102,0
70366512075000,MQTT,102,0
70366512391900,MQTT,102,0
70366512229800,MQTT,102,0
70366512538900,MQTT,102,0
70366512683000,MQTT,102,0
70366512811400,MQTT,102,0
70366520982700,MQTT,102,0
70366521257700,MQTT,102,0
70366521760500,MQTT,102,0
70366521430800,MQTT,102,0
70366521600900,MQTT,102,0
70366521895900,MQTT,102,0
70366583048100,MQTT,102,0
70366583593400,MQTT,102,0
70366583789000,MQTT,102,0
70366583913700,MQTT,102,0
70366584008500,MQTT,102,0
70366613351100,MQTT,102,0
70366613634400,MQTT,102,0
70366613967700,MQTT,102,0
70366613837400,MQTT,102,0
70366613750300,MQTT,102,0
70366614132000,MQTT,102,0
70366614264200,MQTT,102,0
70366614886000,MQTT,102,0
70366614660800,MQTT,102,0
70366614444600,MQTT,102,0
70366614956100,MQTT,102,0
70366614787800,MQTT,102,0
70366615023900,MQTT,102,0
70366615092900,MQTT,102,0
70366615158600,MQTT,102,0
70366615495500,MQTT,102,0
70366615595000,MQTT,102,0
