Timestamp,Protocol,Payload Size (bytes),Device Active Time (ms),Client IP,Client Port,Header Size (bytes),QoS / Method
79117809187800,MQTT,2090,0,N/A (Broker),N/A,15,0
79117827317800,MQTT,2090,0,N/A (Broker),N/A,15,0
79117848788000,MQTT,2090,0,N/A (Broker),N/A,15,0
79117871255200,MQTT,2090,0,N/A (Broker),N/A,15,0
79117887667800,MQTT,2090,0,N/A (Broker),N/A,15,0
79117917290600,MQTT,2090,0,N/A (Broker),N/A,15,0
79117967992600,MQTT,2090,0,N/A (Broker),N/A,15,0
79117985903700,MQTT,2090,0,N/A (Broker),N/A,15,0
79118007920200,MQTT,2090,0,N/A (Broker),N/A,15,0
79118036024000,MQTT,2090,0,N/A (Broker),N/A,15,0
79118053394500,MQTT,2090,0,N/A (Broker),N/A,15,0
79118071848600,MQTT,2090,0,N/A (Broker),N/A,15,0
79118100002600,MQTT,2090,0,N/A (Broker),N/A,15,0
79118128960700,MQTT,2090,0,N/A (Broker),N/A,15,0
79118145299800,MQTT,2090,0,N/A (Broker),N/A,15,0
79118167710000,MQTT,2090,0,N/A (Broker),N/A,15,0
79118197025000,MQTT,2090,0,N/A (Broker),N/A,15,0
79118217643400,MQTT,2090,0,N/A (Broker),N/A,15,0
79118243167900,MQTT,2090,0,N/A (Broker),N/A,15,0
79118268911200,MQTT,2090,0,N/A (Broker),N/A,15,0
79118286327800,MQTT,2090,0,N/A (Broker),N/A,15,0
79118301034800,MQTT,2090,0,N/A (Broker),N/A,15,0
79118331271100,MQTT,2090,0,N/A (Broker),N/A,15,0
79118355903500,MQTT,2090,0,N/A (Broker),N/A,15,0
79118370955300,MQTT,2090,0,N/A (Broker),N/A,15,0
79118391340500,MQTT,2090,0,N/A (Broker),N/A,15,0
79118417433000,MQTT,2090,0,N/A (Broker),N/A,15,0
79118440694900,MQTT,2090,0,N/A (Broker),N/A,15,0
79118462727800,MQTT,2090,0,N/A (Broker),N/A,15,0
79118486063600,MQTT,2090,0,N/A (Broker),N/A,15,0
79118499620000,MQTT,2090,0,N/A (Broker),N/A,15,0
79118515574500,MQTT,2090,0,N/A (Broker),N/A,15,0
79118546665800,MQTT,2090,0,N/A (Broker),N/A,15,0
79118572530300,MQTT,2090,0,N/A (Broker),N/A,15,0
79118592387900,MQTT,2090,0,N/A (Broker),N/A,15,0
79118613521300,MQTT,2090,0,N/A (Broker),N/A,15,0
79118638253300,MQTT,2090,0,N/A (Broker),N/A,15,0
79118652806900,MQTT,2090,0,N/A (Broker),N/A,15,0
79118673843000,MQTT,2090,0,N/A (Broker),N/A,15,0
79118700670700,MQTT,2090,0,N/A (Broker),N/A,15,0
79118755722900,MQTT,2090,0,N/A (Broker),N/A,15,0
79118778273900,MQTT,2090,0,N/A (Broker),N/A,15,0
79118794619100,MQTT,2090,0,N/A (Broker),N/A,15,0
79118851087100,MQTT,2090,0,N/A (Broker),N/A,15,0
79118872668600,MQTT,2090,0,N/A (Broker),N/A,15,0
79118895402900,MQTT,2090,0,N/A (Broker),N/A,15,0
79118909801400,MQTT,2090,0,N/A (Broker),N/A,15,0
79118942419300,MQTT,2090,0,N/A (Broker),N/A,15,0
79118968118100,MQTT,2090,0,N/A (Broker),N/A,15,0
79118981856700,MQTT,2090,0,N/A (Broker),N/A,15,0
79119018028100,MQTT,2090,0,N/A (Broker),N/A,15,0
79119046557200,MQTT,2090,0,N/A (Broker),N/A,15,0
79119063829700,MQTT,2090,0,N/A (Broker),N/A,15,0
79119080617700,MQTT,2090,0,N/A (Broker),N/A,15,0
79119102167000,MQTT,2090,0,N/A (Broker),N/A,15,0
79119124402000,MQTT,2090,0,N/A (Broker),N/A,15,0
79119142777000,MQTT,2090,0,N/A (Broker),N/A,15,0
79119163938300,MQTT,2090,0,N/A (Broker),N/A,15,0
79119185553200,MQTT,2090,0,N/A (Broker),N/A,15,0
79119199580000,MQTT,2090,0,N/A (Broker),N/A,15,0
79119219952500,MQTT,2090,0,N/A (Broker),N/A,15,0
79119269539700,MQTT,2090,0,N/A (Broker),N/A,15,0
